ip,remark,region,status,purity_score,purity_percent,purity_level,risk_label,reasons,asn,org,network_type,country,is_proxy,is_vpn,is_tor,is_abuser,is_datacenter,sources
104.17.140.66,104.17.140.66#美国-California-San_Francisco-96%,美国-California-San Francisco,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,wetest
104.21.83.45,104.21.83.45#加拿大-Ontario-Bay_Street_Corridor-96%,加拿大-Ontario-Bay Street Corridor,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,CA,False,False,False,False,True,wetest
104.17.140.131,104.17.140.131#美国-California-San_Francisco-96%,美国-California-San Francisco,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,wetest
104.17.140.202,104.17.140.202#美国-California-San_Francisco-96%,美国-California-San Francisco,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,wetest
104.17.146.133,104.17.146.133#美国-California-San_Francisco-96%,美国-California-San Francisco,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,wetest
104.17.148.136,104.17.148.136#美国-California-San_Francisco-96%,美国-California-San Francisco,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,wetest
104.17.146.90,104.17.146.90#美国-California-San_Francisco-96%,美国-California-San Francisco,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,wetest
104.17.148.45,104.17.148.45#美国-California-San_Francisco-96%,美国-California-San Francisco,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,wetest
104.17.148.37,104.17.148.37#美国-California-San_Francisco-96%,美国-California-San Francisco,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,wetest
104.17.141.61,104.17.141.61#美国-California-San_Francisco-96%,美国-California-San Francisco,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,wetest
162.159.25.239,162.159.25.239#美国-California-San_Francisco-96%,美国-California-San Francisco,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,wetest
162.159.41.27,162.159.41.27#加拿大-Ontario-Bay_Street_Corridor-96%,加拿大-Ontario-Bay Street Corridor,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,CA,False,False,False,False,True,wetest
162.159.33.29,162.159.33.29#美国-California-San_Francisco-96%,美国-California-San Francisco,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,wetest
162.159.3.150,162.159.3.150#美国-California-San_Francisco-96%,美国-California-San Francisco,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,wetest
108.162.194.39,108.162.194.39#美国-California-San_Francisco-96%,美国-California-San Francisco,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,wetest
172.64.53.48,172.64.53.48#美国-California-San_Francisco-96%,美国-California-San Francisco,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,ip164746
162.159.38.107,162.159.38.107#匈牙利-Budapest-96%,匈牙利-Budapest,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,HU,False,False,False,False,True,ip164746
162.159.39.83,162.159.39.83#匈牙利-Budapest-96%,匈牙利-Budapest,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,HU,False,False,False,False,True,ip164746
104.18.36.231,104.18.36.231#美国-California-San_Francisco-96%,美国-California-San Francisco,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,ip164746
162.159.44.218,162.159.44.218#匈牙利-Budapest-96%,匈牙利-Budapest,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,HU,False,False,False,False,True,ip164746
162.159.45.44,162.159.45.44#匈牙利-Budapest-96%,匈牙利-Budapest,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,HU,False,False,False,False,True,ip164746
108.162.198.159,108.162.198.159#美国-Virginia-Ashburn-96%,美国-Virginia-Ashburn,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,ip164746
172.64.52.250,172.64.52.250#美国-California-San_Francisco-96%,美国-California-San Francisco,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,ip164746
162.159.35.102,162.159.35.102#美国-California-San_Francisco-96%,美国-California-San Francisco,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,cf090227-ct
108.162.198.236,108.162.198.236#美国-Virginia-Ashburn-96%,美国-Virginia-Ashburn,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,cf090227-ct
198.41.223.27,198.41.223.27#加拿大-Ontario-Bay_Street_Corridor-96%,加拿大-Ontario-Bay Street Corridor,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,CA,False,False,False,False,True,cf090227-ct
162.159.39.64,162.159.39.64#匈牙利-Budapest-96%,匈牙利-Budapest,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,HU,False,False,False,False,True,cf090227-ct
8.39.125.53,8.39.125.53#美国-California-San_Francisco-96%,美国-California-San Francisco,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,False,cf090227-ct
162.159.44.37,162.159.44.37#匈牙利-Budapest-96%,匈牙利-Budapest,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,HU,False,False,False,False,True,cf090227-ct
162.159.38.167,162.159.38.167#匈牙利-Budapest-96%,匈牙利-Budapest,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,HU,False,False,False,False,True,cf090227-ct
108.162.198.100,108.162.198.100#美国-Virginia-Ashburn-96%,美国-Virginia-Ashburn,clean,4.8,96%,extremely_clean,elevated,,13335,"Cloudflare, Inc.",hosting,US,False,False,False,False,True,cf090227-ct
188.164.248.147,188.164.248.147#荷兰-North_Holland-Amsterdam-48%,荷兰-North Holland-Amsterdam,dirty,2.4,48%,high_risk,high,is_vpn;risk=high,209242,"Cloudflare London, LLC",hosting,NL,False,True,False,False,True,cf090227-ct
198.41.223.212,198.41.223.212#加拿大-Ontario-Bay_Street_Corridor-80%,加拿大-Ontario-Bay Street Corridor,warning,4.0,80%,normal,elevated,is_vpn,13335,"Cloudflare, Inc.",hosting,CA,False,True,False,False,True,cf090227-ct
