ip,ok,status_code,colo,colo_region,loc,trace_ip,http,tls,sni,warp,gateway,elapsed_ms,purity_percent,input,error
104.17.140.66,True,200,SJC,美国-SJC,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,884,96%,104.17.140.66#美国-96%,
104.21.83.45,True,200,AMS,荷兰-AMS,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,1631,96%,104.21.83.45#加拿大-96%,
104.17.140.131,True,200,SJC,美国-SJC,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,867,96%,104.17.140.131#美国-96%,
104.17.140.202,True,200,SJC,美国-SJC,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,827,96%,104.17.140.202#美国-96%,
104.17.146.133,True,200,SJC,美国-SJC,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,924,96%,104.17.146.133#美国-96%,
104.17.148.136,True,200,SJC,美国-SJC,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,822,96%,104.17.148.136#美国-96%,
104.17.146.90,True,200,SJC,美国-SJC,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,823,96%,104.17.146.90#美国-96%,
104.17.148.45,True,200,SJC,美国-SJC,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,778,96%,104.17.148.45#美国-96%,
104.17.148.37,True,200,SJC,美国-SJC,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,735,96%,104.17.148.37#美国-96%,
104.17.141.61,True,200,SJC,美国-SJC,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,736,96%,104.17.141.61#美国-96%,
162.159.25.239,True,200,SIN,新加坡-SIN,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,2208,96%,162.159.25.239#美国-96%,
162.159.41.27,True,200,SIN,新加坡-SIN,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,2214,96%,162.159.41.27#加拿大-96%,
162.159.33.29,True,200,SIN,新加坡-SIN,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,2186,96%,162.159.33.29#美国-96%,
162.159.3.150,True,200,SIN,新加坡-SIN,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,2087,96%,162.159.3.150#美国-96%,
108.162.194.39,True,200,SIN,新加坡-SIN,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,2093,96%,108.162.194.39#美国-96%,
172.64.53.48,True,200,NRT,日本-NRT,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,406,96%,172.64.53.48#美国-96%,
162.159.38.107,True,200,NRT,日本-NRT,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,250,96%,162.159.38.107#匈牙利-96%,
162.159.39.83,True,200,NRT,日本-NRT,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,239,96%,162.159.39.83#匈牙利-96%,
104.18.36.231,True,200,SIN,新加坡-SIN,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,2170,96%,104.18.36.231#美国-96%,
162.159.44.218,True,200,NRT,日本-NRT,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,282,96%,162.159.44.218#匈牙利-96%,
162.159.45.44,True,200,NRT,日本-NRT,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,593,96%,162.159.45.44#匈牙利-96%,
108.162.198.159,True,200,NRT,日本-NRT,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,245,96%,108.162.198.159#美国-96%,
172.64.52.250,True,200,NRT,日本-NRT,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,312,96%,172.64.52.250#美国-96%,
108.162.198.229,True,200,NRT,日本-NRT,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,574,96%,108.162.198.229#美国-96%,
162.159.32.30,True,200,SIN,新加坡-SIN,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,1878,96%,162.159.32.30#美国-96%,
198.41.223.33,True,200,SIN,新加坡-SIN,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,1873,96%,198.41.223.33#加拿大-96%,
108.162.198.166,True,200,NRT,日本-NRT,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,243,96%,108.162.198.166#美国-96%,
173.245.58.221,True,200,SIN,新加坡-SIN,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,2048,96%,173.245.58.221#加拿大-96%,
8.39.125.107,True,200,SIN,新加坡-SIN,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,1377,96%,8.39.125.107#美国-96%,
162.159.38.136,True,200,NRT,日本-NRT,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,230,96%,162.159.38.136#匈牙利-96%,
173.245.58.149,True,200,SIN,新加坡-SIN,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,1854,96%,173.245.58.149#加拿大-96%,
162.159.35.137,True,200,SIN,新加坡-SIN,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,2079,96%,162.159.35.137#美国-96%,
162.159.38.178,True,200,NRT,日本-NRT,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,254,96%,162.159.38.178#匈牙利-96%,
198.41.223.88,True,200,SIN,新加坡-SIN,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,4083,96%,198.41.223.88#加拿大-96%,
108.162.198.195,True,200,NRT,日本-NRT,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,377,96%,108.162.198.195#美国-96%,
162.159.35.226,True,200,SIN,新加坡-SIN,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,2177,96%,162.159.35.226#美国-96%,
162.159.41.247,True,200,SIN,新加坡-SIN,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,2176,96%,162.159.41.247#加拿大-96%,
172.67.73.165,True,200,FRA,德国-FRA,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,1622,96%,172.67.73.165#加拿大-96%,
104.26.12.147,True,200,FRA,德国-FRA,CN,183.17.51.57,http/1.1,TLSv1.2,plaintext,off,off,731,96%,104.26.12.147#美国-96%,
